Tweets,good,bad
when the city is paralyzed w/indecision the mayor shines my business card logo onto the sky,1,0
 “i can do anything in windows that u can do in linux” 😭,0,1
 i applied to it :),0,1
" if my phone said that i'd be like ""the hell you say sir""",0,1
 when i was 6 i named my goldfish george matheson :-|,0,1
also why assume those effects would be predictable and accurately codified when humans are terrible at that sort of thing,0,1
 oy i'd really rather not see that guy in my feed,0,1
   for example sometimes it’s not a goal we need so much as an anti-fragile self-sustaining process; people often solve the wrong problem “really rightly” by doing cost benefit analyses for end states that can’t be or don’t need to be specified,0,1
 i agree with that at the same time between thanksgiving and christmas nyc becomes intolerable in many places too much of a good thing for me atleast,0,1
  rob you're pointing straight at the downvote thingie,0,1
 omg 😍,0,1
 for me it is indeed difficult,0,1
i’m on my bullshit again loading python modules into r,0,1
 i really like these bangers all,0,1
i was thinking i didn’t get anything done today but apparently i plowed thru 35 more pages of the python book because i’m on pg 85 https://tco/gfk7lkakv1,0,1
&lt;big|psi&gt; not sure about this representation,0,1
 i have no idea whether this is a sound strategy for anyone but me but here goes anyway: i go to bed about 1 hr before i want to sleep and i try to make up a good story (usually romantic) and daydream it out in my head i get sleepy,1,0
 good ghost no punch,0,1
  quid intellegere nōn possum 😅,0,1
 also i used to get crippling anxiety that now is only painful,0,1
    perfect and then i can call it polenta 😁,0,1
  🤣 i’m ded,1,0
" i'm also considering the idea of ""letting things simmer"" ie not eliminating them entirely even for now but doing just a tiny bit of them to keep the flame burning",0,1
  i should also mention that inter-paradigm critique would be involved ie criticizing each perspective from the vantage points of all the others,0,1
and i would include more than bio/chem/phys and not even limit to the sciences: artificial domain boundaries are not just out of date but increasingly harmful,0,1
 sorry couldn't help it,0,1
 obsidian would be my 2nd brain but i didn't have the 1st one so,0,1
 that looks pretty reasonable i'll read the kindle version while i'm on the elliptical machine :),0,1
  and then there's huel: equivalent to eating a single thing that is both bad and good,0,1
"kinda sad that (at least in my experience) in science people rarely just stop for a bit and say ""wow that plot is effing gorgeous""",1,0
over the whole rest of my life (scope),0,1
  yeah dust would get all in there and cookie crumbs,0,1
"considering putting human treats on a fishing line to sample from fat tailed distributions (no hook tho that's just mean)

(woman runs up chasing reese's pb cup)
me: how would you rate yourself on ability to talk through conflict",1,0
" what doesn't kill me makes me stronger unless it kills me (and then i will wander the earth feeding on the living)

i'm still ok but that last time i really lay in the burned-out pit of my ashes a long time before doing the phoenix thing",0,1
 wow even debugging my own code can make me crazy 😅,0,1
using ml to do sensitivity analysis on system dynamics simulation results,0,1
 if u would like an ml take this was fargin amazing https://tco/dkldyd7krz,0,1
it took me forever but i made a picture of the viable system model using graphviz; now i can change the labels really easily to think about different kinds of instantiations :) https://tco/nvhkfnorvc,0,1
 it was vanilla huel which i give a 5 (meh) without anything added the pumpkin spice pumped that up to an amazing 6 😂,0,1
 that is why the gods gave us huel,1,0
 that def sounds worth considering thanks,0,1
"there’s a certain chat room where ppl speak only latin and it be like 

person 1: cannabem fūmō (i’m smoking pot)

person 2: ēbrius sum (i’m drunk)

😅",1,0
 it's a total bitch to translate that into latin,0,1
alright going to read about category theory and later maybe vibe-post about it,0,1
 changing name to vim girlboss +100,0,1
3/ meanwhile each item on the list is marked with importance and urgency indicators to aid in triage,0,1
 i feel the same way,0,1
  that makes sense and i hadn’t given it much thought before,0,1
"what tools do you consider to be those of a rationalist i'll start with a few:

- knowledge of the most common cognitive biases and de-biasing techniques
- bayes's equation
- brier scores
- game theory
- linear models 
- decision trees",1,0
what i do: use critical systems thinking ideas from the behavioral sciences and machine learning to support decision making,0,1
 some of those criticisms remind me of a common criticism of systems thinking: that we can't know everything relevant to a complex situation along with all interconnections but since systems thinking is only about striving to do the best we can it's just shooting the messenger,0,1
 i now consider myself to be a wisp new identity :-|,0,1
i keep wanting to play with the idea of using systems approaches designed for collective decision making to improve individual decision making by considering multiple perspectives that are self-generated,0,1
 but yeah a different model could use a single point; comparing results between these models could be informative,0,1
 at least he doesn’t micromanage 😂,0,1
 i'm inconsistent in viewing the mistakes of others vs myself for others i think that people do the best they can and i don't think people should just suffer if they do something bad (ie i'm not a retributionist) but somehow it feels self-serving to apply that to myself,0,1
"i think about these a lot:

(1) system dynamics
(2) vanguard method
(3) viable system model
(4) socio-technical systems engineering
(5) strategic assumption surfacing
(6) interactive planning
(7) soft systems methodology
(8) critical systems heuristics
(9) team syntegrity",0,1
i used to love reading these physics books by landau and lifshitz because they were so concise and clear as to be beautiful; part of the allure of twitter is attempting to make ideas as beautiful as they can be by using as few words as possible,1,0
 thanks i prolly got it from julia galef though i can't remember for sure,0,1
 become ruler of australia 😈,0,1
 i dunno if i feel like i'm missing insights of eg cicero when i read him in english it just feels much more happy and beautiful to read him and others in latin scratches an itch deep down,0,1
 i crowdsourced it; here ya go https://tco/bopnhbzyd8,0,1
 the overlap is tiny so while everything is touching most things aren’t to a very good approximation including butt/chair gotta say this to ruin the party for everyone who likes to say entanglement therefore mystical stuffs yay,0,1
checked linkedin engagement; accepted follow requests,0,1
 i’d have just assumed that their phone worked like mr fusion from back to the future,0,1
an extra eye could be ok depending on where it is and whether it has an eyelid,0,1
gotta say i'm up to some scary stuffs around here lately,1,0
 i once had a partner who often wanted to do it at 3-4 am; not gonna lie the psyop idea didn't work for me so well in that particular window not a morning person 😅,0,1
  yes i was going to say that i find having an army of loyal robot minions helps,0,1
  i may have been exaggerating 😅,0,1
 lots of laughs for real for real,0,1
 nyc is full of rats,0,1
 i live in the inverse of the matrix where conflicts lead to a series of milton bradley games,0,1
 ea = rationalist who includes everyone else in her utility function,1,0
but if i did work at dunkin donuts i wouldn’t have to grade papers,0,1
 i based my personality on this https://tco/ci92uvbpok,0,1
 https://tco/jhnss7xoez,0,1
"badger badger badger…

stuck in my head this morning

a snake a snake

damn",1,0
 i'd take advantage of the blindingly white background following me around by convincing mean people that i'm an angel and they'd better stop being mean or i'll tell them to stop being mean again,0,1
 gaudeō quod id putās 😁,0,1
not a life coach or a consultant but a third more mysterious thing,1,0
 i understand deeply,0,1
 i seem to be the opposite like after i exercise really hard my brain seems to work better people can be different in surprising ways like some people literally can’t picture things in their minds eye apparently some people think in words and others don’t seem to etc,0,1
 this reminds me of that poll where doctors said that doctors other than themselves were influenced by small gifts from pharm companies it can’t be true of all doctors but some of them could have been right,0,1
  if i defeat such a date do i get to absorb her powers,0,1
i kinda wish that rationalists would get together and design the most effective dating site i do think that what we have now (reciprocity google docs) is prolly better than the usual apps but i also think it could likely be much better still,1,0
"my research process
(1) idea
(2) lit review
(3) cry because already been done
(4) remember phd advisor's advice and forge on",1,0
 say it was just part of ur soul dying from the black void that is meaninglessness,0,1
 i want to say yes; “want” is the key word here,0,1
learning institutions should have degree programs in integrative science in which biology/chemistry/physics are taught together not like neapolitan ice cream flavors but by showcasing how they are inextricably tangled up in the real-world’s pressing problems,1,0
" at first i read ""mathematics literally won't run"" and thought ""math needs a server""",1,0
 i'm in an academic teaching contract until spring semester is over it might be possible to break it but currently i'm thinking to stuff myself with ai knowledge and apply like a crazy person nearer to that time,0,1
"""applying to what"" is the last thing i'm not sure but i think those positions are just called ""decision scientist""; i can poke around on https://tco/a3o1er4hfn and other things later today to find out more now maybe my brain will let me sleep",0,1
 i’m on the 1st and since it doesn’t really have stuff on neural nets supplementing w/the 2nd https://tco/5efye2n7fx,0,1
 getting ghosted by a ghost while predictable also hurts a lot,0,1
" sometimes it even translates lingua latīna as ""english"" ha ha but i've kind of grown fond of hurling insults at it: caudex (blockhead)",0,1
  https://tco/yehro9mg2w,0,1
 yes; at the same time it’s prolly also a good idea to keep in mind plausible uses for example thinking of things we are grateful for seems to be useful against the adaptation level phenomenon; growth mindset seems useful in the sense that it encourages at least trying,0,1
 comic sans ha,0,1
 whatever drug makes you feel like you live in a quantum superposition where anything could turn out to be something else,1,0
linux is trending yay go linux,1,0
 thank you 🙏,0,1
    awesome; i love physics forums,0,1
"  i got the idea thinking about biofeedback:

https://tco/iuffyyx5aw",0,1
 hey this looks like the universe i ordered,0,1
 depending on what happens that might be tremendously helpful thanks,0,1
fighting 🔥 with 🔥 here,0,1
  (nodding sagely),0,1
  on twitter i refrain from saying anything you wouldn’t hear on the simpsons,0,1
  which is literally here https://tco/r3aj9ytgph,0,1
  baysed,0,1
  i used to watch this show called quantum leap about a physicist who intentionally causes himself to leap from person to person for all eternity to save or greatly improve their lives i’d totally do that to myself if i could,1,0
and i've worked with regularization principal component analysis etc before as well the only thing that's been totally new so far has been sql and this stuff having to do with neural nets so gotta hit those areas hard,0,1
oh alright i’ll get up,1,0
my utility function contains things like “feeling like a monster for the rest of my life” and “acting like a stabby person makes me more of a stabby person”,1,0
i watched the labyrinth in spanish; i like also david bowie yaas,1,0
btw i wish “being huelarious” belonged somewhere on my resume,1,0
  this is cool except i hope we aren't veering into the land of epicycles that can fit any orbit 😅,0,1
  i love that game too,0,1
 i want to live in europe but working remote for something us based is totally possible; i just realized i could even work ca hours because i’m a night owl,0,1
no animals were harmed during the making of this tweet 🙏,1,0
tell me how tall i am and i'll share some statistics on the answers,0,1
 it appears to be written in lewis carrollian,0,1
" it ranks right up there with that gif of the kool-aid man busting through the wall and saying ""oh yeah""",0,1
 i mean for me it would involve being defeated at galaga and somebody coding up something but otherwise yeah totally,0,1
5/ for the organisms to be purposeful it would need a kind of executive control center that factors in what's going on in the other systems to some extent and gives meaning to the organism's experience,0,1
"confusing the epistemic (ie our representations of things) with the ontologic (ie the things themselves)

ex 1: “i see directly ur bad intent”
ex 2: “reality is what u make it”",1,0
 i like where ur going just don't put the notes at the back of the chapter because that's savage and barbaric,0,1
 i used to play a lot of chess too and swing dancing is super cool though i can only watch (shuffle dancing is my jam tho) so i can remind myself of the wonderful things about my new loves nice,0,1
"  ""it would be great if we had some more mid-career people (especially those with excellent managerial skills) to help the community directly scale up projects or tenured academics switching to valuable research topics""

i think i might fit into that group :)",0,1
 today twitter is my productivity app ha,0,1
  yeah for that i’d go with the dry soil test; if i can’t tell visually i stick my finger in the dirt,0,1
4/ after each group has presented and has its position criticized by the other groups a synthesis is attempted that factors in the strong points of each group's original position; if a synthesis cannot be reached at least the key uncertainties have been identified,0,1
"1/ there is this idea in psychology coming largely from the work of r baumeister that when we exert self control or make decisions it's as if we deplete a reservoir of energy that allows us to do these things this effect is termed ""ego depletion"" 
https://tco/vuvuv4rypm",0,1
 when the projects get more interesting i’ll start tweeting/blogging about them,0,1
 congressives for those who want us all to work together; as opposed to aggressives,0,1
i’m planning to start donating to givewell any issues that i should be aware of,1,0
 there's always latin https://tco/cvs8prnljz,0,1
"me to my students: ""no self-respecting physicist would ever put the numbers in first before doing the algebra""

that's true right",0,1
who keeps messing up my hair every night,1,0
 a lot of the tools in my decision advising skill set come straight from econ,0,1
 i see and it makes sense that some would be that bad (gaussian anyone),0,1
  let the cheese flow i say,0,1
decided to say more based stuff,1,0
 easter prolly wouldn’t work 🐰🥚,0,1
 actually just lived off ramen noodles cheetos and dr pepper (back before i became militantly anti-sugar),0,1
 quam jūcundum,0,1
"going off into the night to be my own hero and save myself (no one else will do it)

see u guyz tomorrow",1,0
  got it if there's a coherent way to reject having to help a utility monster paperclip maximizer that'd be nice kinda don't like that,0,1
 the dating apps that are out there have algorithms built into them that are not at all evidence-based and are prolly also (even if unintentionally) influenced by the financial interest of keeping people on the app live talk is something you do *after* reviewing profiles,0,1
"one time someone called me ""a 90s era dreamboat"" and i'm still trying to decide if that's good",1,0
 or a mechanical owl take your pick,0,1
  ēheu,0,1
" i put periods when i want gravitas

btw i eat people who pronounce it “gravy toss”",0,1
 👌,0,1
 if that needs to be a box i might as well give up ha my brain just does that; i can either help it or not 😅,0,1
 i see huel but then everything looks like huel to me these days :-|,0,1
*first movie i haven't already seen,0,1
not this kind :| https://tco/vqfrzt0fsn,0,1
 this is isomorphic to using a weighted linear model just a geometric way of looking at it :),0,1
  yup my abs are just like that :-|,1,0
"in star trek the borg would be better if

(1) they maintained their individuality while sharing in the hive mind

(2) in addition to implants they went with full flesh-sculpting so everyone could look however they want

i would make a great hive queen if anyone's hiring :-|",0,1
 the hard thing about being specific is that it often ends up being unintentionally me-centric eg “can i read to you from cicero’s rhetorica ad herennium”,0,1
 i know this pain,0,1
 i have an animal in my house it sheds it needs food and attention all the time that animal is me def not worth it,0,1
 prolly because i categorize everything ha,0,1
 i wake up late af but boy do i hustle so mid here,0,1
i’ve managed to wedge myself into a corner of twitter where people know so much about computers and coding that next to them i look like my 14 year old self trying to recreate pac-man using basic,1,0
  i just feel violated that elon was using latin,0,1
   that kinda makes me happy - the world i know hasn’t totally crumbled away yet 😅,0,1
 i love travelling in the spaceship of the mind :-|,0,1
" i didn't realize it before because i didn't know latin when i last read it but ""ecce homo"" means ""behold man"" :)",0,1
 there’s def potential for a lot of cognitive dissonance in there; at the same time i know people who just really love babies and children like my sister-in-law worked as a nanny for years before becoming a mother just because she loved it,0,1
we need a rat mastodon server :|,0,1
if u guys make form-fitting ea tank tops of various earth tones i’ll be perma advertising for u,1,0
  before the plague i was a gym ho hmm no that's not right gym rat :),0,1
   damn i thought i had legit been working magic by taking various things modulo,0,1
 i don't care how many likes this tweet gets: today you have won twitter,0,1
" i got it from here: 

rational choice in an uncertain world: the psychology of judgment and decision making https://tco/0nkity3ru6",0,1
 thanks max; i'm totally gonna take that advice 📖🫖,0,1
  yeah that fringe sect… what are they calling themselves oh yeah geophysicists,0,1
  does it have all the same functionality as r for ml,0,1
my life feels like a much milder version of the shawshank redemption,1,0
 my life: 1 -&gt; 2 -&gt; 1 -&gt; 2 -&gt; 1 -&gt; 2 -&gt; ,0,1
  i hate it when caffeine does that to me,0,1
they just wanna know: can u do the job do u want to do the job and will u use word instead of sending us latex files u nerd,0,1
 omg yaas their robots look like they'd be perfect horrifying minions,0,1
   my memory is really fuzzy going back far enough but i strongly suspect that i used to be kind of a moron and only achieved the semblence of smartness i have by living in a library and reading 99% of the time for 30 years,0,1
 and now there is only huel,0,1
 my digestive tract understands,0,1
"""kayla i've noticed your writing contains lots of curious phrasings and uses of passive voice"" 😅",1,0
it's understandable to value outside views but inside views can be valuable in ways outside views can't be precisely because they are informed by what's been going on inside,1,0
 i see this one,0,1
 if i can find a random guy though who happens to have a bunch of great reviews i might have him repair my &lt;insert broken thing&gt; but yeah in absence of something like that i tend to go for the big names,0,1
now all i have to do is tweet a banger,1,0
  i might write mine entirely with graphviz :-|,0,1
"to be me:
(1) have thought
(2) yes
(3) on 2nd thought no
(4) but yes
(5) ok more complex 3rd thing but we are going w/yes as an approximation",1,0
 if i start tweeting nonsense it's just the me being me,0,1
 you just reminded me that i’m still hoodie-less; gotta fix that,0,1
 if that ever happens get back to me: i may be able to hook you up with a flying horse :),0,1
 you're not missing that much really the first part was a page turner but then there was all this stuff about vader being luke's father and a long segment of hobbits crying and then that whole green function drama,1,0
 that gets at a good point at the same time “accurately” does underline that we are in some sense still trying to get at the truth,0,1
and a tube of toothpaste,0,1
 doing it two different ways makes sense :),0,1
i’d rather shoot myself than inject salesy hype into social media or anywhere else for that matter just saying,0,1
 so this guy named muhammad turned 40 and went into a cave and there god (here  btw) spoke to him but thru some angel named gabriel anyway gab tells him that abraham was muslim and jesus a prophet forseeing the coming of muhammad himself voila abrahamic end,0,1
"  i make cognitive maps as i interview clients and it seems to make much more info available all at once 

also chunking helps ie making each item in your short term memory be really several packaged together 

https://tco/38fvmwxw1b",0,1
 yaas,0,1
vanilla huel break,0,1
 ah freud that great grandaddy of hedgehog grandiosity,0,1
learning what a neural network is doing by having another neural network observe it woah,0,1
deep space nine but populated by tpot,0,1
 it's highly likely that twitter will be fine but i like to hedge my bets,0,1
 massive career switch 😅,0,1
"4/ who:

- thinks very systemically can see the big picture and is really good at diagnosing problems but who

- would prolly be really stressed out to be in charge of some big thing with lots of moving parts",0,1
  truly it would require poetry to describe,0,1
  well dammit,0,1
 which industry is taking the hit,0,1
"  i was like ""how bad could it be"" and the answer is ""very very very very very bad"" 😅",0,1
 yay 😌,0,1
wondering how to get all the ea mascots to obey me i could become ruler of australia,0,1
"i used to get in these terrible fights w/someone in my family and i remember pleading with him ""can't we just do this like something we're trying to find out together you know not defending and attacking"" and his answer was ""no i don't work that way""",0,1
"science and many other endeavours seem at their best when they have:

(1) people working together (interpreted broadly)

(2) many kinds of people with many different worldviews and skill sets represented

(3) those people wanting to contribute not ""show the world my greatness""",0,1
 i’m glad u like it 😌,0,1
 my model includes diminishing marginal returns and has a multidimensional effing around landscape :-|,0,1
 i thought you were gonna say it was the agi immitation of me that google builds using all my personal info i mean sure i'd date her too if she didn't kill me this is starting to sound too much like my life already :-|,0,1
  except when she randomly tries to kill me 😌,0,1
  whether it's pascal mugging depends on whether the probability is astronomically small or just very small; at the moment it just seems very small to me there's also uncertainty about the level of uncertainty if you get my meaning,0,1
"""simple can be harder than complex: you have to work hard to get your thinking clean to make it simple but it's worth it in the end because once you get there you can move mountains""

~steve jobs",0,1
 i have reason to believe that they prefer not to be called out :),0,1
"one time i said something about engineering friendships and an english dept colleague said ""oh you physics types 'cultivate friendships' is what u do""; then she went on to describe the gravitational orbit of her social network and inside i was like ""but but""",0,1
problem is i usually want to talk about love decision theory and those plastic things on the ends of shoelaces,0,1
1/ i'm gonna say what i think about ethics for a bit i'm not highly confident about any of it; it's just what so far makes the most sense to me first i don't see how objective values could exist in the world: i'm a physicalist; it seems like eg everything is quantum fields,1,0
 these are the conclusions i reached for myself :),0,1
"almost done grading; meanwhile my brain is going:

rah rah-ah-ah-ah
roma roma-ma
gaga ooh-la-la
want your bad romance",1,0
it’s hard doing everything alone,1,0
 damn 085-ish rather (anchoring; i’ll stop now),0,1
 i'm speaking metaphorically this whole time and about cheeto dust :-|,0,1
 i mean only insofar as u are using foul language,0,1
"i would just like to thank tpot for not casually saying crazy things all the time like peeps irl

we say crazy things very formally here 😎",1,0
w/out caffeine and chocolate my iq must be like 20 points lower 😅,0,1
 not gonna lie: that wiki article hurt my little pre-coffee brain 😅,0,1
 i can relate,0,1
 damn now i want my taco to have a large imaginary part,0,1
 you know how people imagine a bunch of white clouds for heaven for hell i imagine a place where you could buy many fine leather goods,0,1
 i haven’t so looking forward to it :),0,1
 wow i didn't realize that new jersey is heaven: we have 761 dunkin donuts here you can't take a single step and not be in one,0,1
i ordered a pizza which never came; it my case there are many significant benefits for that outcome 😅,0,1
 ok i haven't seen that one batman it is,0,1
if i am hiding nearby and u want to catch me just start talking about quantified modal logic; i won't be able to stop myself,1,0
" that tweet sounds more like something people-who-want-you-to-say-yes-to-things-cels would write 😅

telling people you'll get back is a great way to set boundaries (tripp plz don't boil me 😅)",0,1
  i don't know what you're talking about,0,1
  a squirrel that serves doom :-o,0,1
if you are an ai alignment researcher and are willing to help me wade into this area please dm,1,0
  you could post smart things on it,0,1
the ai tweet generator thinks i’m a girlboss haha https://tco/7hsotl1onp,1,0
is there any way to market being able to learn anything move between fields effortlessly and synthesize knowledge across those domains or does the world just firmly believe such a person can’t exist,0,1
 i forgive u for being a wildly successful stick figure,1,0
general feeling toward consultants:,0,1
  you were and are https://tco/h9lonl0ujp,0,1
 i’ve been doing it for over a year now; u get used to it,0,1
the articles over at lesswrong are more,0,1
 emacs group vs vim group,1,0
 how many times i have tried this maybe i just need to get better at lynx,1,0
  vōx populī pshh dī bonī,0,1
 this makes me want to eat cheese cubes and do linear algebra,0,1
made breakfast including a delicious cup of coffee :),1,0
re the freelancer thing: so far it sure seems better to try to find ur peeps and work with them than to strive toward having the widest appeal,1,0
this data science stuff is getting in the way of batmanning,0,1
 why can't things in the world really be shaped like this,0,1
 damn i guess there is no escaping dd,0,1
 https://tco/4c8antkxpu,0,1
 just learn all the sneaky opening moves and spring them on the unsuspecting 80% of the effect for 20% of the effort,0,1
 i guess from the way ppl talk about me i’m doing ok; i sure try,0,1
 special relativity implies that the slice of events that count as “now” depends on the reference frame of the observer so every moment ends up having equal claim to now-ness; ergo future lives are equal to present ones: they are present ones in some frame,0,1
 1/ there's an approach called interactive planning that takes this idea as a starting point: instead of focusing on what led to the current level we imagine eg that the ea forum was destroyed yesterday,0,1
plz send 3 more copies of me thx,1,0
  i did that once and won against a guy haha,0,1
    that's interesting are you saying there's some kind of qft-based way of talking about temperature that only relies on fields,0,1
i am going to fourier transform myself and live in wave number space,1,0
tossed some pumpkin spice in my huel; not bad,0,1
i’m saying this as someone who loves ml btw,0,1
   i dunno if it matters for the analogy but small fires grow if no one tends to them it would kinda be bad if firefighters were like “pift i’m not touching that one call me when it’s big”,0,1
 i luv that u brought in chesterton’s fence :),0,1
"this cynefin thingie is kinda neat at first i thought it was a new headache pill but then found out that it's pronounced kuh-nev-in

https://tco/d0ixcfiy3i",0,1
 u would have to eff around to find that out,0,1
 graphic design is fun; i love it :),0,1
"so instead of saying things are ""cool"" can i just say ""based"" from now on",1,0
   i feel that someone is trying to summon me must resist,0,1
 thanks yeah there are a lot of nodes of size zero and ghost nodes in there ha,0,1
 😂 this is also my utube experience: like b shapiro wtf,0,1
 okay i feel a little less like i’ve been in a mathematical physics hyperbolic time chamber,0,1
i’m using these 2 books for my epic data sci grinding https://tco/tmyombkhdv,1,0
 being almost permanently lodged in kahneman's system 2 mode,0,1
 bookmarked for meal reading,0,1
 i approve of this question,0,1
what twitter is to me is a bunch of networks of people helping each other,1,0
gonna do what any girl would do in my situation: sit around reading about romans in latin all night,1,0
 these images you post👌,0,1
 oh yeah and oh yeah &gt;:),0,1
  the huel police are now circling above ur house in a huelicopter,1,0
see all that time studying calculus during parties and street fights paid off,0,1
 it won't always be businesses because i want to work with individuals too at the same time point well-taken,0,1
pretty sure i’m breaking some law of nature because i look younger close up,0,1
 damn all i got so far is 30 extra lives,0,1
 you might ask i was married to a bulgarian woman; i know she wouldn’t have minded being asked eg what kitchen appliance or plant she would like,0,1
just realized that agi killed edwin drood :-|,0,1
 “does it contain socks and underwear a cpu both” the world may never know,0,1
"okay i'm here all alone on thanksgiving and the only thing about it that i regret is being here all alone on thankgiving 

i do however have lots of warm fuzzy stuffs inside for everyone in tpot (and for my python book)",1,0
i bet almost all the math in hassani’s mathematical physics book could be put to use for decision making: it just has to be creatively reinterpreted,1,0
 i got trolled in latin by one of those once; like damn is no place safe,0,1
 haha sometimes it happens to me as well; i just poke the phone to hell,0,1
 that sounds really nice,0,1
 combat does kinda suck when ur a necromancer i mean evard’s black tentacles is visually satisfying sure as is that hissing sound as the earth exposes its foul innards but it’s a weak spell man and the paladin will always throw u under the bus,0,1
  he does make me want to clutch the scout mindset to my chest and rock back and forth…,0,1
 damn,0,1
can't we just u know write our own fargin twitter app,0,1
 yes,0,1
 i can relate,0,1
 but we still need a good way for the database to be updatable without a person having to continuously manage it,0,1
there's been a parmesian cheese avalanche but i survived; i'm ok,0,1
 twas a low probability event of high utility (woke up happy),0,1
 also now the name barbara sounds funny to me,0,1
something i've noticed is that there tends to be a lot more variation inside various categories than ppl are comfortable with: open up that box that says x and it's a mess in there because what u really have is every imaginable shade of x verging on not even being x,0,1
" the very hungry caterpillar: ""would you still love me if i were a worm"" editor: ""no""",0,1
