,Unnamed: 0,Tweets
1518,1518,"these techniques help me sometimes do u guyz have others

https://tco/iadotddjjo"
214,214, things often get worse before they get better sure hope that won't be the case here
3732,3732, some of those criticisms remind me of a common criticism of systems thinking: that we can't know everything relevant to a complex situation along with all interconnections but since systems thinking is only about striving to do the best we can it's just shooting the messenger
132,132,    even still wow they must be better at the language learning game than me…
3351,3351,  temporibus antiquissimīs vērum fuit :-|
3436,3436, (makes coughing sound) huel excuse me
733,733,i kinda think i would enjoy sitting in a dim room analyzing the hell out of data and writing recommendations based on the results; that's a thing right they could just slide coffee under the door and check to see if i'm alive from time to time
3319,3319,look can't it just be my job to make huel puns all day
1406,1406, that seems like a really good question; i would think that firstly we should try to lower the probability that people using ai with good intentions would accidentally cause global-scale catastrophe; at the same time it's def important to consider people using ai with bad intent
2300,2300, damn now i want my taco to have a large imaginary part
1487,1487,  how am i not surprised he creates a whole other twitter account and podcast after i block him just goes to show u gotta be careful who u date
1988,1988, hey baby i’m just checking in with you to see if we could have a good time today or tomorrow night
3208,3208, and should twitter hire me 😅
3540,3540, like how before readers are directed to your blog they're given a choice to subscribe and invite friends that's super nifty
49,49, ah the beloved yellow springer books; omg u are making me want to do math all day
3214,3214, like when would we expect people to appear to be random randomly 😅
2587,2587, u would have to eff around to find that out
3778,3778,  “savaged by an angry frog” 😂
2986,2986, aw man i asked for another brain and they gave me a rock only a slight improvement
3128,3128,  i don't know how to solve the ai alignment problem but i think we could solve the dating alignment problem ha
3938,3938, (looking around whistling puts away ski mask)
3012,3012, i wouldn't take that sitting down :-|
1110,1110, my absurd bangers are all 100% accurate; whatever algorithm they put in place needs to respect this fact
284,284, yaaas it's great :d
790,790, yes exactly dunning has been over at my place
1356,1356,i didn’t even mention that whole formal logic odyssey that went on in parallel with all this  mathematically modeling natural language and natural language arguments
649,649, but i'm a cheapskate so everything must be free going with spyder + anaconda atm
2637,2637,"  ""if you use the method above the probability of picking the best of the bunch increases significantly to 37 percent — not a sure bet but much better than random""

https://tco/i63vybffcv"
1443,1443,  i knew it
2287,2287,no one shall expel us from the paradise which bayes has created for us
997,997, over on my latin account i accidentally summoned an 8th level daemon of meh sorry
3369,3369,"tweeting as a viable system

this framework can be applied equally to running accounts on other social media platforms or combinations of them

https://tco/39ujh1dxxr"
549,549,9/ we can see from the output that games from the categories of action action-adventure and shooters sold the best so if we want to know what kinds of games we could count on most to bring reliable cash flow these would be the ones at least in north america
770,770, quantum many worlds thanos just gives up and plays mario cart
909,909, oh cool fauxpilot - sounds like just my speed ha ha; thanks :)
2948,2948, i want latin to be my meta language; it's taking  a while :-|
849,849,and there is such a thing as decision support analyst haven’t forgotten about that just not a lot of it out there it seems
3873,3873,or maybe people who are biased in favor of the status quo criticize people who aren’t with “you know the grass is always greener…” 😅
1779,1779,you know when people need to make hard decisions so much of the time everything they need is already bopping around inside their heads; they just need someone to come in with a broom and a dust pan
785,785,i feel a little more secure knowing that when i'm too tired to tweet bangers  will take up the slack
1292,1292, u have to beat me at galaga
421,421,  whether it's pascal mugging depends on whether the probability is astronomically small or just very small; at the moment it just seems very small to me there's also uncertainty about the level of uncertainty if you get my meaning
1871,1871,i can never remember whether i’ve put decaf in the coffee grinder; i’m basically running off the placebo effect y’all
1744,1744, i verge on having this trait as well
2007,2007, i’d like to raise your wibbly-wobbly with a timey-wimey
3563,3563, hmm it’s an idea
2286,2286,i wonder if the neighbors think i’m speaking italian to myself
2787,2787, omg we're all bots
1845,1845, meow; meow meow: meow wuv meow
295,295,like is it possible to use pandas *instead* of sql
262,262,  all those mythical beasts seem to be just bits of familiar creatures pasted together…
3706,3706,  i do the same thing in latin but then i have to translate it to english before submitting :-|
2324,2324, lots of dunkin donuts coincidence i think not
1801,1801, bruh ur so chill s’cool
2748,2748, wading into chaos; it's what i do
2656,2656, 0 is quite rational being expressible as 0/1 or 0/2 or 0/huel or (# of gf's i have)/10 etc
1466,1466, there’s a kind of dance between math and physics: an idea might start off in physics go off and be made beautiful by mathematicians and then find its way back to enrich physics i wanted to witness and be part of that dance
3859,3859,  i would vote for hannibal the carthaginian :-|
842,842, https://tco/j0cdgvcwzo
2876,2876,does anyone happen to have an idea of how to make the topic of 2-3d vectors exciting for undergrads
1383,1383, how come not europe though i did decide to drop that as a requirement
1914,1914,like so wrong that the wrongness police will show up and arrest u for being so wrong
576,576,https://tco/dezscobt9k
2065,2065, morning me
3621,3621, right; it led eliezer y to conclude that the strict dilemma isn’t all that relevant to humans since humans aren’t generally completely selfish
1762,1762,so what country shall i live in (and why)
1908,1908, 🤣
249,249, omg i’m ded once more
3403,3403," i'd have been the worst house wife in history 

""honey where's dinner; why isn't the house clean"" 

""huel's in the cabinet studying quantum physics"""
324,324, hit me with it :|
2812,2812, i like this option this and offering a hot chocolate that i've produced from apparently nowhere could be the next level up :)
706,706, yeah i agree: mine seems to have put some peeps further out than they should be based on how much we interact
1575,1575,one time i walked into a place called “bodacious bob’s barbecue” and immediately upon entering fumbled into bodacious bob himself
1253,1253,any tips for someone who would like to fly like superman by locally distorting spacetime
3649,3649, sed quōmodo latīnē dīcitur 😅
1197,1197,imagine if everyone irl around u started acting like tpot
3113,3113, usually it seems when people accuse someone of inconsistency in beliefs that person has qualifications and other beliefs that render the set consistent; to know about these would require talking to the person
2573,2573, applied rationality :)
3860,3860, sometimes i think this could be a reason that working from home would be better: it forces managers to find different proxies for success besides “looking busy” 😂
2521,2521, i crowdsourced it; here ya go https://tco/bopnhbzyd8
3928,3928, omg it's so satisfying to do that
1810,1810, i got only 1 bruh; btw my eyeballs r burning ur so hot fr fr
184,184,  actually my papers be like here are 100 equations sorry
1020,1020, i was thinking to understand the theory and practice both because i'm interested in ai alignment and many of the things i've seen that further this goal are things you do by understanding deeply how the algorithms work eg changing them in ways that increase transparency
788,788, for now
528,528,meetings should have facilitators who don't have any particular axe to grind eg they can make sure no one hogs the floor and that minoritized viewpoints are heard if they are also systems practitioners they can use models to synthesize views into an actionable whole
2105,2105, i would do it but my hands are full
1490,1490, so once i mentioned  in responding to someone's tweet and he thanked me personally
1723,1723, better than not being able to stan it
3000,3000, okay you made me listen to it and then i too had to dance
537,537,and i've worked with regularization principal component analysis etc before as well the only thing that's been totally new so far has been sql and this stuff having to do with neural nets so gotta hit those areas hard
1083,1083, hoc bonum’st :)
2277,2277, frequentists are still surprisingly frequent :-|
1255,1255,when i need irl interaction but all i’ve got is twitter https://tco/1bt3ekhboj
3632,3632, hmm but it isn't perfect because it's unclear what advantage the fox could gain by striving to reach them (good exercise)
1529,1529, for similar reasons i often wish i’d just eaten a super spicy taco
3528,3528,"h/t  for alerting me to this article tldr: a simple model based on human heuristics can sometimes beat ml algorithms + big data

https://tco/7qk1w6hz86"
1479,1479, i like the idea of reframing in a self-cooperative way thanks
2159,2159, most based gang ever
1302,1302,  it seems like i’ll just have to keep reading and thinking about it on controversial issues it often seems people state wildly opposing views with equal and absolute confidence i’m going to try hard to go at this like i imagine julia galef would
752,752, word loss aversion is real
237,237,"a workflow:

(1) tweet something
(2) stare at it distrustfully 
(3) comment or delete"
808,808,"combined with exercising at the same time every day and reminding myself that i'm ""a person who exercises"""
1129,1129, this goes in the based pile
3455,3455, sounds pretty weird to me but i do about 40 pages of calculations before i touch anyone anywhere 😅
329,329, i noticed they are using hueligans and wondered if they got it from me 😅
917,917,a way to maximize the advantages of both kinds of view is to have an outsider come in and learn before evaluating
1794,1794, puer quī huellam pulsat improbus est
63,63,re the freelancer thing: so far it sure seems better to try to find ur peeps and work with them than to strive toward having the widest appeal
1637,1637,does anyone have a vest made of mithril i could borrow
792,792,"omg sql is easy y'all (famous last words)

but yeah so far it seems super easy"
148,148,  yeah i should’ve worded that better
3590,3590,  https://tco/9ramzdqdao
3108,3108,4/ but the smoke detector isn't perfectly specific in this regard: smoke from cooking or burning candles or incense could also make the alarm go off
2737,2737, my brain is an intel 486 so this process takes a lot longer than 5 min for me :-|
2098,2098, also it seems to depend whether we’re talking about instrumental vs epistemic rationality and including others for greater accuracy/efficacy or because we want things to go well for them
492,492,paid income tax adjustment meh
1515,1515," this feels like that scene in alice in wonderland where the cheshire cat tells alice that she’s mad

at any rate i know people who know people who have cardboard boxes i can borrow"
3696,3696, not gonna lie: that wiki article hurt my little pre-coffee brain 😅
267,267,i luv systems thinking; the work that consultants and managerial scientists have done to make insights from general systems theory cybernetics and complexity theory actionable is so amazing
3416,3416,feel free to suggest your own theoretical framework 🤓
3556,3556,  actually i was happy for 1 full second once so nevermind :-|
1704,1704, i kinda follow this mostly because of ibs and being insanely afraid of aging
2788,2788, and she has a crush on principle component analysis
2510,2510, when i'm writing in that markdown editor or whatever i feel all alone but when i'm writing in this little box i feel like i'm sitting in the twitter bar with you guys; it's nice
1780,1780, yeah that's what i mean to say ;)
231,231,i need so badly to revive the latin my soul is dying
1552,1552,also becoming more agentic has helped a lot: it's amazing what can happen if you just ask for things
1055,1055,it's hard to sit with people at a round table and not end up learning from and collaborating with them
1572,1572,  darn i'm definitely gonna need something full time - thanks though
1969,1969, yeah i just scratch the # of days i've been here on the wall
1590,1590,*wishing (doh)
2010,2010, wow how did my phone know i read livy all the time 😅
736,736,if bangers were an alt energy source a single day's worth from tpot could power nyc for like 6 months straight
2443,2443, looking to keep expanding that until it's 3/4 of the year at least 👻👻👻
3081,3081,"  i charge $150 for inconvenient ones :-|

kidding mostly"
3339,3339,"i definitely hear a lot of ""x is natural so it's better"" kind of reasoning from people around me; it's important to be careful about that kind of reasoning https://tco/ekur7itf2c"
522,522,    and i luv the fitted v-neck t-shirt thanks
1103,1103,learning what a neural network is doing by having another neural network observe it woah
2241,2241,  cognitive dissonance may be at work: “i don’t give anything to charity but i’m a good person someone who does must just be a signaling narcissist” etc
3447,3447, if prov(p) implies (p) has been proven in some axiom system (the syntactic view) then any model that makes prov(p) be true also makes p be true (that's the semantic view) so we can't make a model that mistakenly says prov(p) when p is false that must mean that p is true
2085,2085,alright everyone i know what we’re up against but it’s wednesday so let’s go out there and show ‘em who’s boss
1765,1765," i selected ""friend"" but i do that unless the person or thing in question is trying to eat my face"
2042,2042,"  from the discussion we've been having it seems like the positions are

(1) bite the bullet: all hail the utility monster
(2) destroy the damn thing"
3924,3924, that's a really interesting metaphor: being immersed in a think tank might be a little too much like being a brain in a vat
3877,3877, that short intro series is awesome
2096,2096,just suggesting again that high eq and rationality belong together
1035,1035, i am curious
3018,3018,going around saying everything is based
2024,2024,now privately referring to ea as “mathematical kindness” 🥹
3247,3247,  i think that if my brier scores are consistently worse than some threshold i should commit to skydiving in a qualy outfit
2035,2035,  i'm so sympathetic to this way of thinking paradigm jumping is what i normally do followed by waiting for the dust to settle and then raw-dog-vibing it :-|
203,203, i have indeed; muchly
2345,2345,i’m adorable and sweet btw just letting u know
3781,3781, i used to suspect that a majority of likers didn’t believe but since then i’ve probed a little and every liker i’ve met so far also believes or at least so it seems even if i say “someone might say… &lt;insert reasonable argument against&gt;” no one has moderated
2160,2160,"going off into the night to be my own hero and save myself (no one else will do it)

see u guyz tomorrow"
2801,2801,"  caela is cursed by the gods to never speak anything but latin but i her twin sister will answer for her: it says ""what do you think hannibal is thinking"""
2069,2069,  i think also part of the difficulty is that i was trying to capture what would really be a complex interaction in a tweet so i was trying to give a vibe but your point still hits the mark i believe
3112,3112,"actions don't always correspond directly to beliefs 

i can strongly suspect that a gun is not loaded but for safety reasons choose to act as if it were loaded 

fairly often i see confusion on this point and especially relating to trust in others"
197,197,it turns me on when ppl speak econ :|
2714,2714, what is that is it like an electron orbital kind of into the 3p subshell myself
1464,1464,  i prefer to think that paranormal quantum shmantum something something happened (shivers)
1867,1867, instead i’m like “why can’t i put eheu”
2528,2528,  i agree with what you're saying; as a practical matter whenever i've tried relaxing requirements it's led to really bad outcomes for me so i have the sense that my set of requirements is already the minimum viable set trying to just be happy now in the meantime
3792,3792,10/ i just realized that i forgot another major thing i do: i remove even small barriers between myself and things i want to do eg instead of deciding to study latin i see a book in latin on the table in front of me and just habitually pick it up and start reading it
2466,2466, these images you post👌
3832,3832," like we calculate how much force/energy would be needed to do x or whether something depicted would violate laws of motion etc

eg how much pizza does yoda need to eat to get enough energy to lift an x-wing out of the swamp"
1966,1966,i need to learn poetry so i can complain with higher fidelity
263,263,"okay i'm here all alone on thanksgiving and the only thing about it that i regret is being here all alone on thankgiving 

i do however have lots of warm fuzzy stuffs inside for everyone in tpot (and for my python book)"
3838,3838, special relativity implies that the slice of events that count as “now” depends on the reference frame of the observer so every moment ends up having equal claim to now-ness; ergo future lives are equal to present ones: they are present ones in some frame
3147,3147,  i like the earnest-response approach; at the same time i can totally see how the pros of blocking could outweigh those of continuing the interaction at times
2175,2175,i will never accept being old even if i finally get so old that eating people for suggesting that i'm old becomes unjust
2626,2626," i have the perfect ""temporary"" substitute language we can use while we're waiting for english to get figured out https://tco/xdv03xfwvw"
3472,3472,  i fight crime on the streets of nyc each night wearing it
3747,3747, so far i've only tweeted about the viable system model and a tiny bit about critical systems heuristics; i plan to write an article about the viable system this week on my blog eventually i'll tweet and write about all of them
2880,2880,  i usually come up with some ideas on my own first and then do the fuller literature search my thing has always been taking knowledge from one domain and applying it in others where people tend not to know or use those things; it's served me well
299,299, emmy noether :)
1298,1298,i feel like socially saying u can do this is taken the same way as declaring oneself to be a genius 😅
2601,2601," trick 1: i tell myself ""i'll just do 5 min and i can stop if i want""; usually i end up going for like 1-2 hours

trick 2: i built some things into my identity like being multilingual ""this is who i am"" has worked for me"
2250,2250, 3/ i am still crushing on her but plz don't tell alexa in the year 2000ish some ai named deep blue beat a russian guy at chess and then all hell starting breaking loose: self-driving cars computers simulating having feelings dogs and cats living together
1504,1504," at first i read ""mathematics literally won't run"" and thought ""math needs a server"""
1836,1836, that is why the gods gave us huel
455,455,completed that todo list program thingie
3886,3886,  we need to assign this problem of finding a good colorful description of p-hacking to someone :-|
880,880, i luv u too rayne ❤️🙏
3598,3598, julia galef
378,378, i luv ladder operators give me some eigenfunction and i’ll just add energy levels all day while singing this: https://tco/g6ehl8txdm
42,42,"kinda sad that (at least in my experience) in science people rarely just stop for a bit and say ""wow that plot is effing gorgeous"""
3992,3992,  quid intellegere nōn possum 😅
3381,3381,  i did but he was lost in a terrible macramé accident :-|
2211,2211,"[en] if my tweets were bilingual would you be ok with that

[la] sī pīpiātūs meī bilinguēs sint sitne sat tibi bene"
498,498,started writing fargin student exam (1 of 2)
1002,1002, not a gif btw but i’ll allow it :|
3960,3960, i'm a notorious tweet deleter and re-editor partly for that reason
1415,1415, and my teaching load is lighter in the spring than in the fall
1096,1096,if i go outside while it’s raining and get utterly soaked will i be symbolically cleansed like in books and movies
2598,2598,  i see so maybe eventually for spanish in my case
478,478,started an obsidian vault for project ideas
1595,1595, that ai thingie thinks we’re all corporate 😂
708,708, i don’t think getsizeof is giving all the memory that’s used: https://tco/nkcaivyvzd
2128,2128, grep -r “true love” /
3875,3875,glad there’s prolly not an organized anti-ea legion of doom
2292,2292, sometimes i get upset that the world seems to work this way and become bad-vibe-emanating villain me basically just me again but the sky darkens above me and there are locusts :-|
1964,1964,theoretically i’m really good at talking about war in latin esp if it involves elephants coming over the alps
2348,2348, 🙏
2878,2878, if i don't go to parties does that qualify me as being good vacuously
2588,2588, (i'm at fred rogers levels of agreeableness btw)
2377,2377, yes oxytocin plz
2872,2872,"one trend i seem to be noticing lately is that the world (online and off) would like me to engage more in cheezy cornball antics

and i'm happy to say that this is one service i can offer very reliably and consistently"
3733,3733,people keep saying not to use the passive voice but it’s liked a lot by me
2077,2077," does drinking huel count another contender: saying ""i'll get back to you on that"""
1213,1213,i love the idea of generalized additive models btw
2826,2826, thank you for quantifying
2692,2692, i've been informed that i have a beauty of 2 millihelens which means that 2 full ships of ancient greeks would risk life and limb to save me building on that as a foundation
1531,1531,when i go to amazon and search “latin novella” i get novellas written in latin but also spicy housewife man books 😱
2364,2364,i try
21,21, me too fr
3399,3399, i'll prolly get around to making one of these myself at some point i'm still okcupid fatigued heh
832,832, also any sufficiently advanced moral theory is indistinguishable from magic wait i think i've gotten this confused with something else
3764,3764,"coffee ✅
huel ✅"
1144,1144,my phd advisor once said to me: “nobody’s done anything just look at whatever assumptions people have made and see what happens if you don’t make that assumption”
74,74,i have a friend who was once hustled out of her ice cream by a gang of ducks
1984,1984, https://tco/vhlruxz6zi
2394,2394,gonna watch fullmetal alchemist in spanish on the elliptical take a bath and have a hot cuppa tea gotta balance out all of the day's suckitude
1063,1063,the articles over at lesswrong are more
2132,2132," ""lgbtq and now a what next"""
1426,1426, despairing about feeling useless… i guess i’m not ok at the moment i’ll prolly feel better tomorrow thanks for asking 🙏
3571,3571," 16:8 fasting calorie restriction here; 068 that it helps (i’d like if i turn out to be underconfident here 😅)

staying out of sun (096) consuming collagen (058) using retinol (077)"
2275,2275,  baysed
2243,2243,"if we only have 8 yrs left we should get to do only stuff we wanna do just saying

like i wanna just have intellectual discussions make out and watch movies :-|"
413,413, i really like these bangers all
2638,2638," ea = effective altruist rat = rationalist

though you remind me that the latin speakers also accepted me which also makes me very happy :-)"
3869,3869,"in my favorite books people are always ""breaking out into stories"" the same way that in musicals they break out into song and dance i kinda wish real life worked that way like in buying a sandwich you end up hearing about midas getting donkey ears whether you want to or not 😅"
3280,3280, nisi rex tryrannosaurus sit :|
920,920,it's understandable to value outside views but inside views can be valuable in ways outside views can't be precisely because they are informed by what's been going on inside
3086,3086, https://tco/izjdbfujtr
2314,2314," my friend's instant pot perma smells like oatmeal; somehow this bugs me enough to not get one

but then the inside of my fridge looks like an army of huel drinks"
1027,1027,it seems like i'm drawn to anything with such potential like a moth to a light my lifelong obsession is how can we improve our meat brains
2877,2877, it's important to be able to state the hard truths
732,732,so i'm guessing that i can just start storing all my data in sql tables and pulling it out with something like dbplyr
910,910, that looks cool but not free i don't want to give up my avocado toast :|
1478,1478, this is true 😁
2273,2273,give me a subject and i’ll give a really short drunken history version of it
640,640, i’ll try it for sure: storytelling w/data is going to be important for what i wanna do
949,949,giving well into the night: effective owltruism
2079,2079,when you make a joke u really like in a room full of people and no one even smiles
3726,3726,  if i were a billionaire i’d rather something like givewell end up with more of it than a government because with government it gets spent chaotically like “let’s build roads but start a few wars too”
3628,3628, whereas for the case i have in mind you wouldn't even want to stop trying even though attainment is not possible
669,669,my utility function contains things like “feeling like a monster for the rest of my life” and “acting like a stabby person makes me more of a stabby person”
1350,1350,   i feel like worldview is more neutral with approx the same content
1657,1657,linux is trending yay go linux
3503,3503, i felt sad and so sat out on the stoop for a bit; it seemed to help quite a bit
3754,3754, my place has lots of windows and would be totally drenched in sunlight except that i acted like the vampire i am and covered up every single place that light can get in :-|
1026,1026,of course i'd love to just integrate aligned ai directly into my brain but that seems a tad infeasible at present ha
2881,2881,  solid advice i mean liquid
2864,2864, that's where i always put the blame anyways
3138,3138, that's one idea another is to have a website like https://tco/emumfq6hdq where people put info in several columns along with a short essay; then an open source code picks out the profiles you want and could use an algorithm to suggest choices but only if desired
2157,2157,what’s wrong with us why r we all gorgeous
3565,3565, congressives for those who want us all to work together; as opposed to aggressives
2752,2752,   the real reason for the rage of achilles
2680,2680,"  and i love them without hats 

https://tco/6vwatxc8qo"
2462,2462," i have journals and journals filled with equations; i look through them and i'm like ""damn respect to whoever the hell this was"""
2451,2451," this was my home:
https://tco/noxbyoh7sc"
189,189, i guess i'm already working on it: a suite of high level ml environments i can use to analyze data for all my clients but also simplified versions of every package i use so that i can maximally understand it
1900,1900,  you were and are https://tco/h9lonl0ujp
3291,3291, givebadly is pretty well bad and there’s this drink called cruel that really will do a # on you
575,575,i'm on my bullshit again solving the schrödinger equation for the hydrogen atom
3259,3259, i had this one i worked on forever where i was sappho wandering through the ages but i deleted it out of despair
2366,2366, hey that’s right :)
1155,1155,i should prolly be putting these things into obsidian
2278,2278,proudly strollin down the sidewalk with my choc huel enjoying some nice weather after this cold wet slog of a week
494,494,updated my todo list for tomorrow (i use task warrior if ur curious)
44,44,i know that ai can do it better but i'm soft and filled with warm goo
134,134, that's just false advertising
3685,3685," oh man you might want to read this (or just talk to me a lot because i’m obsessed with it): 

critical systems thinking and the management of complexity https://tco/bwv26m0ypi"
3032,3032, vanessa van edwards :-)
3476,3476, now i’m gonna trash-talk wittgenstein in my own private mental language that i just made up that is in no way latin :-p
3854,3854, so cute
3568,3568, damn 085-ish rather (anchoring; i’ll stop now)
727,727,my butt is not pointy i have checked but wherever i sit down it damages the furniture i must conclude that my butt becomes pointy when i sit
1970,1970, from what i can tell a soul goes for 3 bootlegged anime series
201,201,"  the nothing could manifest itself physically and start destroying the earth; you and i will just be like ""oh that again hello familiar thing"""
1559,1559, yes and i approve of this thread
1573,1573,"i would just like to thank tpot for not casually saying crazy things all the time like peeps irl

we say crazy things very formally here 😎"
313,313, https://tco/djiuz44nxj
429,429, hmm i prefer for my job to involve me just being me and to choose my own hours :)
3798,3798,5/ one of the ways to handle having too many decisions to make is to make higher level decisions about how our lives are structured in a way that eliminates many decisions we would otherwise have to make
3218,3218,"  i feel like i remember you especially regarding the ""knowledge is not true justified belief"" issue 😅"
2178,2178, prolly the model captures some important aspects of reality restricted to whatever the original area of interest was; pushing models outside of the validity of their assumptions can make them go bad like old sushi
2513,2513, pretty sure ha
3118,3118,  hmmm
3041,3041," i sometimes do using data that the client has collected or will collect for example right now i'm using latent dirichlet allocation to make a topic model for a lot of textual data that a client sent me

at the same time you're right: i don't use it *that* much"
2967,2967, that's interesting that sitting with the discomfort a while can also be a helpful thing to do
473,473, atleast there's nothing saying i have to do it all in one day 😅 (tho i am trying to)
948,948, every day i think about it; yes
188,188, sweet
1736,1736, i bumped into an amazing person who i’m just so thankful to know
1208,1208,"me happening upon new thing: ""oh what's this hey lil fella"""
2550,2550," that tweet sounds more like something people-who-want-you-to-say-yes-to-things-cels would write 😅

telling people you'll get back is a great way to set boundaries (tripp plz don't boil me 😅)"
1070,1070,"one time i said something about engineering friendships and an english dept colleague said ""oh you physics types 'cultivate friendships' is what u do""; then she went on to describe the gravitational orbit of her social network and inside i was like ""but but"""
1989,1989, to be stolen away from him by some french guy
774,774, and wow this lagrangian has some weird shit in it
900,900,c'mon i know u want to
3024,3024, it won't always be businesses because i want to work with individuals too at the same time point well-taken
2008,2008, those rash physicists 😂
980,980,i'm not talking about swearing i like swearing
1198,1198, it just means that whatever i say is right
987,987, something interesting will happen soon-ish
2960,2960,  it would also be interesting to see what implications each idea has like what feedback loops eg if there are more good posts but also more bad ones does the reputation of the site suffer if so what effect does that have etc
2852,2852,  can i use that as an excuse for when i do something dumb presh is pretty high over here 😅😅😅
3816,3816, yes i can love ord the barbarian 😁
2888,2888," well i had this plan to hold the world hostage with a doom's day device collect the ransom and then give all the $ to givewell

and i had this other idea which involves getting the hot dog vendors in nyc to organize and do my bidding

i mean really i have lots of ideas"
2713,2713, in high school it was thought that i had a math learning disability because i couldn't memorize my multiplication tables eventually i was put on a vocational track where i cleaned ink off printers and other graphic arts dept tasks for most of the day fast forward: physicist :-|
3479,3479, another of my failed tinder bios
2294,2294, that’s very encouraging
1256,1256,w/out caffeine and chocolate my iq must be like 20 points lower 😅
2700,2700,somehow being both a decision advisor and an absurdity-spewing firehose seems appropriate :-|
2712,2712," as the person who always plays the chaotic good necromancer in d&amp;d my answer is ""yes""

besides i understand why people use windows instead of linux"
428,428, for instrumental rationality what we're trying to do is very bound up with what we want and value which seems like a good thing; for epistemic rationality the connection seems less tight but still it depends on valuing truth what questions we want to ask etc
1439,1439, in reading about hard systems thinking  it was clear that trying to apply math to everything led to too narrow a range of problems irl being addressible so i spent a great deal of time learning about systems thinking the kind of thing consultants run around using so that too
2209,2209," mine is just me but with the background swapped out for blindingly white light :)

my culture is a weird mashup of ea rats and ancient romans; i still forget my backstory tl;dr"
2746,2746,"what tools do you consider to be those of a rationalist i'll start with a few:

- knowledge of the most common cognitive biases and de-biasing techniques
- bayes's equation
- brier scores
- game theory
- linear models 
- decision trees"
3561,3561,if people know that a person comes from a physics/math background they will tend to think she is more less or the same amount likely to be a good decision advisor
548,548, i categorize rudeness; i'm funny that way
1874,1874, u could carry ur fav phil book while dressed as a zombie and be a p-zombie
2087,2087, it might get replaced by “based”
671,671,crazy thought: using utilitarianism all by itself may not be the best idea even if utilitarianism is correct
1687,1687, wait until u get to killing fields
232,232,i’ll be thinking real hard running my fingers thru my hair and end up like this w/out realizing it https://tco/senh7qloji
