,Date Created,Number of Likes,Source of Tweet,Tweets
22,2022-12-02 02:04:10+00:00,1,Twitter for iPhone,i tried to listen while coding but nooope!
23,2022-12-02 02:00:33+00:00,3,Twitter for iPhone,"music ➡️ dancing

reliably, whether i want or not 😅"
24,2022-12-02 00:32:10+00:00,4,Twitter Web App,girl trying to find a way to make her epistemology involve solving the schrödinger equation
25,2022-12-01 23:44:57+00:00,0,Twitter for iPhone,hmm only 2 answers so far https://t.co/MXnMvSD1ok
26,2022-12-01 23:42:15+00:00,1,Twitter for iPhone,@taalumot i guess from the way ppl talk about me i’m doing ok; i sure try
27,2022-12-01 02:00:53+00:00,4,Twitter Web App,also they like having the numbers and seeing what modeling of the data can do in the service of decision making
28,2022-12-01 01:59:39+00:00,4,Twitter Web App,"e.g., my clients hear things like ""game-theoretic analysis"" and are like 😍"
29,2022-12-01 01:58:01+00:00,7,Twitter Web App,re the freelancer thing: so far it sure seems better to try to find ur peeps and work with them than to strive toward having the widest appeal
30,2022-12-01 01:51:56+00:00,0,Twitter Web App,6/ finally u can seek literal physical distance: go some place different than ur used to and think the decision thru there
31,2022-12-01 01:50:00+00:00,0,Twitter Web App,5/ u can also get distance by looking at the decision through the lens of a second language
32,2022-12-01 01:46:01+00:00,0,Twitter Web App,4/ ur current assumptions are like poker chips lying on a table in front of u. this way u are not your beliefs and evidence against one of them is not evidence attacking u personally
33,2022-12-01 01:46:00+00:00,0,Twitter Web App,3/ u are hovering above everything looking down from the sky. it's a way of seeing yourself and everything else as part of a bigger picture
34,2022-12-01 01:46:00+00:00,0,Twitter Web App,2/ the decision u need to make isn't yours but a friend of yours; this friend wants ur advice. the advice we give to others is often more rational than that we give to ourselves
35,2022-12-01 01:45:59+00:00,1,Twitter Web App,"1/ distancing is often useful for thinking about a decision more rationally (see, e.g., https://t.co/zzO0eu3RbX ); to do it u can imagine that:"
36,2022-12-01 01:27:11+00:00,4,Twitter Web App,or things that make u smile :)
37,2022-12-01 01:25:57+00:00,12,Twitter Web App,i don't really wanna post engagement bait. i just wanna make a cozy little corner of twitter and try really hard to say useful things
38,2022-12-01 00:53:17+00:00,1,Twitter Web App,"@mmt_lvt oh goodness yes, statistics w/out causal models (usually obtained from subject area expertise) can be unhelpful or even misleading. i haven't read this one yet; i'll put it on my reading list :)"
39,2022-12-01 00:29:17+00:00,6,Twitter Web App,"damn, understanding more about statistics is like having another sense..."
40,2022-12-01 00:21:39+00:00,2,Twitter Web App,i have a friend who was once hustled out of her ice cream by a gang of ducks
41,2022-11-30 23:55:12+00:00,6,Twitter Web App,"i enjoy crunching numbers absurdly much; i never knew that about myself, huh"
42,2022-11-30 23:48:28+00:00,3,Twitter Web App,tell me how tall i am and i'll share some statistics on the answers
43,2022-11-30 23:20:45+00:00,2,Twitter Web App,@adamrisom that's right: i've got a random number generator and ain't afraid to use it
44,2022-11-30 23:10:37+00:00,4,Twitter Web App,yo: https://t.co/tCOfi1zWqe
45,2022-11-30 22:59:17+00:00,0,Twitter Web App,@schala163 don't worry i'll check it out and report back
46,2022-11-30 22:49:51+00:00,2,Twitter for iPhone,"for some reason i imagine everything working this way, where the arrow means ""some amount of time later"":

beavers nudging sticks ➡️ beaver dam

guys piddling with bricks ➡️ skyscraper

physicists scribbling ➡️ atom bomb"
47,2022-11-30 22:43:58+00:00,1,Twitter for iPhone,i’m rolling 5 data frames deep y’all
48,2022-11-30 22:41:32+00:00,2,Twitter for iPhone,"things are starting to get to me; i’ve been forming addictive habits like pandas, matplotlib, and scikit-learn"
49,2022-11-30 22:39:03+00:00,3,Twitter for iPhone,@IsomorphicPhi @mathyenginerd solving them old-school with special functions used to be my thing
50,2022-11-30 22:36:05+00:00,2,Twitter for iPhone,@mimi10v3 i am spicy pepper resistant but allergic to wasps
51,2022-11-30 22:34:50+00:00,3,Twitter for iPhone,@QualyThe but i’m a cave EA
52,2022-11-30 21:35:16+00:00,8,Twitter Web App,if anyone needs a 2 x 3 array of random numbers between 0 and 1 i got u covered
53,2022-11-30 17:21:50+00:00,9,Twitter Web App,i responded to your tweet this morning in lemon juice; u have to hold ur phone over fire to be able to see it
54,2022-11-30 17:20:04+00:00,1,Twitter Web App,"sometimes the nit that's being picked turns out to be not at nit at all but an important point, so there's also that..."
55,2022-11-30 17:17:53+00:00,1,Twitter Web App,"""there is a sense in which Y"" can be weasely but can also deflect nitpickers; maybe we can have the deflecting w/out the weaseling by saying something like ""one useful way of thinking about X is Y"""
56,2022-11-30 15:09:06+00:00,0,Twitter for iPhone,@AmyPuddytat 🥰
57,2022-11-30 03:19:32+00:00,1,Twitter for iPhone,@RafaRuizdeLira @NathanpmYoung i thought mario bros w/infinite lives ha
58,2022-11-30 02:31:32+00:00,0,Twitter for iPhone,@BlackTomThePyr8 those wave functions are def up in each other’s business look away kiddies
59,2022-11-30 01:47:52+00:00,0,Twitter for iPhone,@PipFoweraker it totally is! and i’m always attracted to those drow girls damn their amazing fashion sense :(
60,2022-11-30 01:45:48+00:00,1,Twitter for iPhone,@nascentwisp do as i wisp
61,2022-11-30 01:37:07+00:00,7,Twitter for iPhone,so i went in for luv &amp; came out with an army of the undead
62,2022-11-30 01:30:03+00:00,1,Twitter for iPhone,@wholesome_meal i want to say yes; “want” is the key word here
63,2022-11-30 01:28:14+00:00,7,Twitter for iPhone,see i misheard &amp; thought necromancer was neck romancer
64,2022-11-30 01:19:50+00:00,4,Twitter for iPhone,"@eurydicelives wow this one resonates, not that i’m difficult noooo no not even a little :|"
65,2022-11-30 01:08:48+00:00,0,Twitter for iPhone,@NathanpmYoung yaas
66,2022-11-30 01:04:33+00:00,11,Twitter for iPhone,"to be me:
(1) have thought
(2) yes!
(3) on 2nd thought no
(4) but yes
(5) ok more complex 3rd thing but we are going w/yes as an approximation"
67,2022-11-30 00:54:30+00:00,2,Twitter for iPhone,@Kirsten3531 it hasn’t happened yet but i see the day coming
68,2022-11-30 00:53:57+00:00,3,Twitter for iPhone,@Kirsten3531 ah ok. darn.
69,2022-11-30 00:53:07+00:00,1,Twitter for iPhone,@iamaheron_ i seem to be good at the opposite
70,2022-11-30 00:50:56+00:00,0,Twitter for iPhone,"@BorisBartlog the wave functions of the particles involved would overlap more and more, but i guess really i’d say the concept of touch is scale-dependent: it doesn’t make sense to me if we’re talking about a bunch of quantum fields"
71,2022-11-30 00:47:16+00:00,2,Twitter for iPhone,"if someone QTs you rudely a bunch of times and then u block them, does ur stuff still show up in their QTs?"
72,2022-11-30 00:26:04+00:00,3,Twitter for iPhone,@nascentwisp @RafaRuizdeLira this is the enlightened view of cuddling that we need ❤️
73,2022-11-30 00:23:30+00:00,0,Twitter for iPhone,"@timschlomi the overlap is tiny, so while everything is touching, most things aren’t to a very good approximation, including butt/chair. gotta say this to ruin the party for everyone who likes to say entanglement therefore mystical stuffs yay"
74,2022-11-30 00:18:35+00:00,1,Twitter for iPhone,@QualyThe i feel ur pain
75,2022-11-30 00:13:49+00:00,4,Twitter for iPhone,put out that there are usually 4 or 5 alternate lenses thru which any one thing i say looks false
76,2022-11-30 00:06:49+00:00,1,Twitter for iPhone,"@timschlomi touché, or tooshie? and yes this is the view from the pinnacle of the jedi order"
77,2022-11-30 00:02:05+00:00,0,Twitter for iPhone,@AnnaWil58054288 things with nonzero ass often do attract one another…
78,2022-11-29 23:31:47+00:00,0,Twitter for iPhone,@olliesayeed yes that’s how we define it at the higher levels of jedi
79,2022-11-29 23:19:35+00:00,1,Twitter for iPhone,@robbensinger ah okay - i was misunderstanding your point!
80,2022-11-29 23:13:59+00:00,2,Twitter Web App,data munging... ok that sounds weird
81,2022-11-29 23:10:50+00:00,2,Twitter Web App,@absurdlymax @austinc3301 oh u can play video games. like solitaire and the one with a little wiggly snake thingy and... well actually that's it. those two.
82,2022-11-29 23:06:42+00:00,1,Twitter Web App,"@panchromaticity this reminds me of a study where they looked at smoking incidence in doctors, and found that literally the further a doctor's specialty was from the lungs, the more likely it was that they would smoke"
83,2022-11-29 22:58:32+00:00,4,Twitter Web App,@RafaRuizdeLira u are making me reconsider my atomistic doctrine
84,2022-11-29 22:56:02+00:00,1,Twitter Web App,@absurdlymax @austinc3301 yes many ppl say that but here take some of our lovely brochures (i made them with LaTeX 😁)
85,2022-11-29 22:51:07+00:00,0,Twitter Web App,@schala163 fr fr
86,2022-11-29 22:49:41+00:00,0,Twitter Web App,@robbensinger i guess it isn't clear to me that instrumental rationalism and effective altruism are the same thing. it does seem like the actions they lead to would typically have a lot of overlap...
87,2022-11-29 22:45:09+00:00,1,Twitter Web App,@austinc3301 hot take: ineffective rationalist = descartes
88,2022-11-29 21:27:41+00:00,28,Twitter Web App,"nothing ever touches anything else: when u are sitting in a chair the atoms of your butt are just hovering above the atoms of the chair, which would be clear if you viewed the situation at an atomic scale"
89,2022-11-29 21:13:23+00:00,1,Twitter Web App,@figworms how did u find the entrance to my lair?
90,2022-11-29 20:59:23+00:00,5,Twitter Web App,ER: effective rationalism
91,2022-11-29 18:45:05+00:00,4,Twitter Web App,anybody got a data set they'd like me to explore and tweet/blog about?
92,2022-11-29 17:45:46+00:00,0,Twitter Web App,"@lightediand i guess from all my textbook experiences ""just a little pondering"" means i need to code something up or fill up only 1 or 2 sheets of paper with equations

also ""introduction"" seems to sometimes mean ""1800 page treatise"""
93,2022-11-29 17:36:03+00:00,1,Twitter Web App,@RafaRuizdeLira haha! maybe more like if u had a cat that just really wanted to speak latin
94,2022-11-29 15:33:13+00:00,7,Twitter for iPhone,it’s hard to take risks when ur situation is comfortable; status quo bias looms heavy. i’ve been handling this issue by doing multiple incremental experiments simultaneously and having (i hope) robust fallback plans
95,2022-11-29 04:13:50+00:00,1,Twitter for iPhone,@stonecrushchest when the projects get more interesting i’ll start tweeting/blogging about them
96,2022-11-29 03:19:58+00:00,0,Twitter for iPhone,"@stonecrushchest i like to get an idea what’s there first and start building those new neural connections: the things that recur a lot thru the text i’ll remember; as for the rest, i’ll remember what it does and where it is. i’m also doing mini projects for each chapter as i go"
97,2022-11-29 00:56:42+00:00,22,Twitter Web App,i'm at pg 180 out of 515 of the python data science handbook 🙏
98,2022-11-28 21:00:04+00:00,1,Twitter for iPhone,"@yrilibek @polisisti @StefanFSchubert @waitbutwhy even still, wow, they must be better at the language learning game than me…"
99,2022-11-28 17:01:52+00:00,1,Twitter for iPhone,"@MagusGenji EA is kinda habit forming, not gonna lie. also a turn on."
100,2022-11-28 14:49:17+00:00,0,Twitter Web App,@RafaRuizdeLira that's just false advertising
101,2022-11-28 14:32:10+00:00,1,Twitter Web App,@WickedViper23 yes but also me :)
102,2022-11-28 13:11:18+00:00,2,Twitter for iPhone,@FilmerJarred glad to know it’s not only my mom who does that ha
103,2022-11-28 13:10:27+00:00,1,Twitter for iPhone,@figworms like doing research to figure out how to save the most lives per dollar donated. it turns out that bed nets are really good for protecting ppl from malaria so giving bed nets has been one way
104,2022-11-28 12:48:02+00:00,3,Twitter for iPhone,@polisisti @absurdlymax @ilex_ulmus i keep journals of my brain works; i look at stuff from 20 yrs ago and am like who the hell was that gee she seems smart
105,2022-11-28 12:44:17+00:00,4,Twitter for iPhone,@not_a_hot_girl yes japanese because latin wouldn’t be weird at all :|
106,2022-11-28 12:34:54+00:00,2,Twitter for iPhone,@figworms effective altruism; it’s a social movement for ppl who wanna help other ppl as effectively as possible
107,2022-11-28 12:28:19+00:00,2,Twitter for iPhone,@linaelrasheed yay!! congratulations!!
108,2022-11-28 12:25:00+00:00,28,Twitter for iPhone,yesterday i was telling my friend about EA and she was like “it’s not a cult is it?” 😅
109,2022-11-28 03:50:43+00:00,1,Twitter for iPhone,@absurdlymax if i tried it would’ve turned into some demented hitchhiker’s guide to the galaxy-ish monstrosity ha
110,2022-11-28 02:21:33+00:00,11,Twitter for iPad,warm &amp; calculating
111,2022-11-28 02:18:43+00:00,3,Twitter for iPad,@polisisti @StefanFSchubert @waitbutwhy 24 weeks to become proficient in speaking and reading seems crazy short even for spanish 😅
112,2022-11-28 00:37:43+00:00,7,Twitter for iPhone,note to self on possible mad scientist schemes: drop the cockroach-controlled robots; go for lobsters instead
113,2022-11-28 00:23:30+00:00,2,Twitter for iPhone,"@WickedViper23 @irinarish i was thinking similar things about the lobster and mouse, but felt very uncertain and voted dog to be safe ha. but lobster would only surprise me somewhat, strange to say: skinner showed that shaping + much less than human IQ can accomplish a lot of surprising feats"
114,2022-11-27 17:34:03+00:00,1,Twitter for iPhone,@RandomSprint @EzraJNewman yeah i should’ve worded that better
115,2022-11-27 17:31:20+00:00,2,Twitter for iPhone,"@EzraJNewman @RandomSprint the kind of ppl i’m thinking of would just say “i’m special because i happen to be me” 

and for goodness sakes some ppl don’t even value logical consistency: they could accept the premises but not the conclusion of a valid arg"
116,2022-11-27 17:12:25+00:00,2,Twitter for iPhone,"@EzraJNewman @RandomSprint the sticky bit is that not everyone is bothered by the suffering of others, oy"
117,2022-11-27 17:09:16+00:00,2,Twitter for iPhone,@EzraJNewman @RandomSprint utilitarianism afaik isn’t a meta-ethical position: it’s silent about the nature of moral pronouncements themselves. one can believe that goodness and badness don’t exist independently of valuing agents and still be utilitarian because personally one doesn’t like suffering
118,2022-11-27 16:03:18+00:00,21,Twitter for iPhone,going in against a sicilian is low-key goated when death is on the line
119,2022-11-27 15:57:58+00:00,3,Twitter for iPhone,i’m outside right now. i saw 5 ppl and my brain’s like “there are so many ppl!” 😅
120,2022-11-27 15:11:55+00:00,7,Twitter for iPhone,"i luv the twitter non-name accounts because where else can u frolic w a tiger, a blobby monster, and a ghost?"
121,2022-11-27 14:47:55+00:00,4,Twitter for iPhone,"deciding to be a decision scientist was a tough decision 

really a tangled mess of decisions where i didn’t even know what decisions needed to be made at first"
122,2022-11-27 14:42:18+00:00,5,Twitter for iPhone,decisionista: best at helping u figure out which espresso drink u want
123,2022-11-27 14:25:38+00:00,1,Twitter for iPhone,@allgarbled i dare the universe to give a crap. about anything at all really.
124,2022-11-27 14:03:39+00:00,2,Twitter for iPhone,@ForCognition @nascentwisp hey it’s my other fav book on decision making :D
125,2022-11-27 02:56:03+00:00,3,Twitter for iPhone,@mimi10v3 @allgarbled i like it
126,2022-11-27 02:48:37+00:00,1,Twitter Web App,@PipFoweraker @vibewargame the beat launch codes! https://t.co/1ZvHfYT59n
127,2022-11-27 02:38:20+00:00,1,Twitter Web App,"@PipFoweraker @vibewargame sergeant of swing
corporal of caper
lieutenant of lark"
128,2022-11-27 02:32:08+00:00,1,Twitter Web App,@PipFoweraker @vibewargame chill sergeant
129,2022-11-27 02:06:01+00:00,8,Twitter Web App,"almost done grading; meanwhile, my brain is going:

Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance"
130,2022-11-27 01:29:15+00:00,8,Twitter Web App,turning on music didn't help me grade because i uncontrollably started dancing
131,2022-11-27 00:56:34+00:00,3,Twitter Web App,https://t.co/b6CrYeIAqz
132,2022-11-27 00:55:22+00:00,9,Twitter Web App,"I'm a science genius girl
I won the science fair
I wear a white lab coat
DNA strands in my hair"
133,2022-11-27 00:39:51+00:00,3,Twitter Web App,not this kind :| https://t.co/VqFrZT0FSn
134,2022-11-27 00:36:04+00:00,3,Twitter Web App,i am grading but my heart is doing data magicks with pandas
135,2022-11-27 00:05:31+00:00,3,Twitter for iPhone,@absurdlymax not fangirling at all here :|
136,2022-11-27 00:03:43+00:00,5,Twitter for iPhone,"@absurdlymax damn, the scout mindset book for the first and julia galef as a person for the second"
137,2022-11-27 00:01:05+00:00,0,Twitter for iPhone,@btdrawer @StefanFSchubert i wanted to say books but tweets are my peeps not fair
138,2022-11-26 23:59:01+00:00,1,Twitter for iPhone,@nascentwisp if u would like an ML take this was fargin amazing https://t.co/dkLdyD7KRz
139,2022-11-26 23:55:55+00:00,2,Twitter for iPhone,@nascentwisp also just reading and listening to lots of julia galef
140,2022-11-26 23:54:58+00:00,2,Twitter for iPhone,@nascentwisp i learned mostly thru reading books on judgment and decision theory; i liked this book a lot (tho it’s a bit pricy): https://t.co/7DCXK5AqL4
141,2022-11-26 23:42:04+00:00,2,Twitter Web App,"@nascentwisp only if it maximizes your marginal expected utility, which it prolly would if u like nerdy girlz 8)

but u had me at lambda calculus tbh"
142,2022-11-26 23:37:53+00:00,3,Twitter Web App,like try pitching ur best one at a room of peeps who don't know u versus a room of ppl who already like u
143,2022-11-26 23:35:06+00:00,7,Twitter Web App,"sometimes ppl say they luv ppl who make them laugh, and i always wonder whether the causation might go in the opposite direction at least to some extent: ppl we like seem funnier"
144,2022-11-26 23:21:08+00:00,1,Twitter Web App,@KolotaTyler i can relate. physics prof here 😅
145,2022-11-26 23:20:39+00:00,1,Twitter Web App,@KolotaTyler yes being economically monopsonous was tough on the dating apps
146,2022-11-26 23:17:11+00:00,1,Twitter Web App,@polisisti a philosophically philandering philphile phillistine even
147,2022-11-26 23:12:45+00:00,2,Twitter Web App,@polisisti @jacquesderridad i really like the slant of that guy's gibberish!
148,2022-11-26 22:56:13+00:00,2,Twitter for iPhone,@PipFoweraker i would be a pretty decent fighter :)
149,2022-11-26 22:48:55+00:00,1,Twitter for iPhone,@jingle__belle i do immensely :)
150,2022-11-26 22:47:44+00:00,2,Twitter for iPhone,@polisisti @jacquesderridad actually my papers be like here are 100 equations sorry
151,2022-11-26 22:46:44+00:00,2,Twitter for iPhone,@polisisti @jacquesderridad my papers be like yo
152,2022-11-26 22:45:09+00:00,1,Twitter for iPhone,@jingle__belle “ambitious” - i like that way of putting it. most days i express it as “possibly crazy” 😅
153,2022-11-26 22:40:57+00:00,2,Twitter Web App,@RandomSprint yes i keep checking. still nothing.
154,2022-11-26 22:38:44+00:00,1,Twitter Web App,@typeofemale sweet!
155,2022-11-26 22:35:30+00:00,3,Twitter Web App,"@jingle__belle i guess i'm already working on it: a suite of high level ML environments i can use to analyze data for all my clients, but also simplified versions of every package i use, so that i can maximally understand it"
156,2022-11-26 21:30:27+00:00,2,Twitter Web App,@ESYudkowsky @WickedViper23 i haven't been accused of pulling a stunt since i was a teenager; it makes me feel slightly less than a million years old 😌
157,2022-11-26 21:26:31+00:00,1,Twitter Web App,"@WickedViper23 @Tris_Legomenon oh gods, didn't know about the toilet thing

and no i suppose i wasn't..."
158,2022-11-26 21:22:36+00:00,1,Twitter Web App,"@ESYudkowsky @WickedViper23 interesting; i don't know what would've happened. i was just thinking of how, e.g., regarding climate change, averaged global circulation models predicted the future better in the past than single models; i was hoping for better belief calibration here than for dead physicists 😅"
159,2022-11-26 20:51:12+00:00,1,Twitter for iPhone,@Tris_Legomenon @WickedViper23 well dammit
160,2022-11-26 20:49:44+00:00,2,Twitter for iPhone,@IsomorphicPhi i mean just the phrase “weird mathematics shitposting” makes me wanna follow u. but i’m already following so…
161,2022-11-26 20:45:41+00:00,1,Twitter for iPhone,@IsomorphicPhi u can poll ur followers about it. i’m followed purely for the huel puns :|
162,2022-11-26 18:02:51+00:00,1,Twitter for iPhone,"not $, but the kind of thinking"
163,2022-11-26 18:01:48+00:00,12,Twitter for iPhone,it turns me on when ppl speak econ :|
164,2022-11-26 17:28:20+00:00,3,Twitter for iPhone,"@MagusGenji am cat, no motorcycle :|"
165,2022-11-26 15:39:56+00:00,0,Twitter Web App,"@WickedViper23 if everyone is, e.g., anchored on something Yudkowsky said, this could be a problem 😅"
166,2022-11-26 15:38:53+00:00,0,Twitter Web App,@WickedViper23 do you have a sense of the mean and spread among everyone's predictions? my thought is that averaging everyone should give a good estimate if the error is decorrelated
167,2022-11-26 15:32:30+00:00,3,Twitter Web App,"@nascentwisp @xlr8harder the Nothing could manifest itself physically and start destroying the Earth; you and I will just be like ""oh that again, hello familiar thing"""
168,2022-11-26 15:21:09+00:00,4,Twitter Web App,"@xlr8harder not so far is all i can say. i've certainly gotten better at mindfulness and noticing. i think the problem might be the yawning chasm of Nothing that devours my soul, which i tend to notice a lot when i'm noticing things"
169,2022-11-26 15:07:41+00:00,4,Twitter Web App,@xlr8harder i have indeed; muchly!
170,2022-11-26 15:01:08+00:00,10,Twitter Web App,"i want to lodge a complaint: my only tolerable moments these days are spent in flow state, where there's no time at all, and in some ways it's as if i didn't exist: i want to just sit here, be self-aware *and* be happy dammit (see i can do this if i'm being cuddled up real good)"
171,2022-11-26 13:34:36+00:00,4,Twitter for iPhone,oh alright i’ll get up
172,2022-11-26 13:13:22+00:00,11,Twitter for iPhone,i wish i had a data set of everyone’s AGI timelines: i wanna know its statistical properties
173,2022-11-26 12:59:04+00:00,0,Twitter for iPhone,@xlr8harder it seems kinda cool because it gives explicit instruction of how to code up the various algorithms as well as examples using packages that are already available
174,2022-11-26 12:53:20+00:00,2,Twitter for iPhone,"@xlr8harder i’m on the 1st and, since it doesn’t really have stuff on neural nets, supplementing w/the 2nd https://t.co/5efye2N7FX"
175,2022-11-26 04:43:43+00:00,1,Twitter for iPhone,@nascentwisp this makes me want to eat cheese cubes and do linear algebra
176,2022-11-26 00:48:40+00:00,8,Twitter for iPad,no animals were harmed during the making of this tweet 🙏
177,2022-11-26 00:40:33+00:00,5,Twitter for iPad,self-consciousness as a scalpel w/which i operate on myself
178,2022-11-26 00:38:47+00:00,1,Twitter for iPad,forging brain paths w/my neural machete over &amp; over &amp;…
179,2022-11-26 00:27:24+00:00,2,Twitter for iPhone,@MagusGenji my spoon is python
180,2022-11-26 00:07:54+00:00,1,Twitter Web App,@codydroux things often get worse before they get better? sure hope that won't be the case here
181,2022-11-26 00:05:19+00:00,1,Twitter Web App,"@PipFoweraker entirely. also trying to put too much stuff in there, ha"
182,2022-11-25 23:41:17+00:00,2,Twitter Web App,and don't get me started about tacos
183,2022-11-25 23:29:35+00:00,25,Twitter for iPad,look when i say dominatrix i’m just talking about a diagonally dominant matrix
184,2022-11-25 23:18:00+00:00,10,Twitter for iPhone,sandwiches frequently have issues w/structural stability
185,2022-11-25 23:06:17+00:00,1,Twitter for iPhone,d&amp;d me https://t.co/m4Y2vMxpol
186,2022-11-25 23:00:41+00:00,2,Twitter for iPhone,"just, u know, trying to escape so many things"
187,2022-11-25 22:55:15+00:00,1,Twitter for iPhone,maybe i should watch something involving hobbits
188,2022-11-25 22:49:14+00:00,6,Twitter for iPhone,my life feels like a much milder version of the shawshank redemption
189,2022-11-25 22:43:09+00:00,1,Twitter for iPhone,@mimi10v3 all the parts of my personality vote on it ha
190,2022-11-25 22:32:52+00:00,1,Twitter Web App,that jupyter notebook thingie ain't bad
191,2022-11-25 22:30:06+00:00,3,Twitter Web App,"also i'm planning to push whatever i write to my github repository; that way, even if i don't have a ton of blog articles about each thing, the code will be out there publicly available"
192,2022-11-25 22:27:45+00:00,7,Twitter Web App,"and by 'toy' i don't mean unreliable or something like that, i just mean not as versatile as the various packages that are available. i'm thinking this way i can maximize my understanding of ML and practice coding in python"
193,2022-11-25 22:25:11+00:00,9,Twitter Web App,"so as i'm working thru this python book, i type out everything; i stop from time to time and play around, making up my own examples. once i've done a first pass through the book, i'm thinking to make toy versions of all the major ML algorithms"
194,2022-11-25 21:25:06+00:00,2,Twitter for iPhone,"@nascentwisp i see, it’s like an authenticity promoting bright line rule; makes sense"
195,2022-11-25 21:20:16+00:00,2,Twitter for iPhone,@nascentwisp how come?
196,2022-11-25 21:13:42+00:00,2,Twitter for iPhone,@RafaRuizdeLira https://t.co/H30BowCvdD
197,2022-11-25 21:12:52+00:00,1,Twitter for iPhone,i need so badly to revive the latin my soul is dying
198,2022-11-25 21:11:13+00:00,2,Twitter for iPhone,"i’ll be thinking real hard, running my fingers thru my hair, and end up like this w/out realizing it https://t.co/Senh7QloJi"
199,2022-11-25 21:08:13+00:00,1,Twitter for iPhone,"even if a statement seems true in an absolute sense, it’s best to be prepared to see it as part of a model"
200,2022-11-25 18:18:37+00:00,1,Twitter for iPhone,@MagusGenji @StatsLime nice creature that eats things 😌
201,2022-11-25 17:42:43+00:00,2,Twitter for iPhone,earnest shitpoasting
202,2022-11-25 17:35:23+00:00,2,Twitter for iPhone,"it seems like a lot of the time ppl mean the latter even if they are saying the former. on the other hand, language matters: the words we use help shape our thoughts"
203,2022-11-25 17:31:34+00:00,9,Twitter for iPhone,"a workflow:

(1) tweet something
(2) stare at it distrustfully 
(3) comment or delete"
204,2022-11-25 17:28:18+00:00,2,Twitter for iPhone,"tho slightly modified versions of both those examples avoid the problem:

ex. 1: “i have overwhelming evidence of ur bad intent”
ex. 2: “ur beliefs and attitudes help shape ur world”"
205,2022-11-25 17:20:59+00:00,5,Twitter for iPhone,"confusing the epistemic (i.e., our representations of things) with the ontologic (i.e., the things themselves)

ex. 1: “i see directly ur bad intent”
ex. 2: “reality is what u make it”"
206,2022-11-25 16:13:43+00:00,1,Twitter for iPhone,@polisisti same here
207,2022-11-25 16:06:38+00:00,1,Twitter for iPhone,@absurdlymax i luv that movie
